EdgeRatio,runTimes,edgeCounts,nodeCounts,groundTruths,resultComms,correctComms
0,1.941737174987793,5551,421,0.05540989337528404,36,19
1,25.62180519104004,19696,1650,0.03961728813787312,84,46
2,12.888245344161987,13466,1073,0.04171521542939703,51,34
3,40.925931453704834,24377,1979,0.038812203609544085,100,50
4,13.085472822189331,14320,1151,0.05063375309738148,75,33
5,30.030712604522705,22669,1943,0.04774633736355283,93,43
6,4.5597827434539795,7967,634,0.061451451927189774,26,21
7,11.258724212646484,12457,1008,0.04712325498150579,37,30
8,8.412501096725464,8863,695,0.04975824661821677,8,25
9,5.068791151046753,8409,693,0.04934189326525048,24,25
10,2.2923340797424316,5886,435,0.050901406590503864,25,21
11,2.1981122493743896,5726,429,0.05893646651613688,22,18
12,29.2444486618042,21026,1647,0.05608010061845397,64,29
13,19.340359449386597,17495,1363,0.04535216735018174,68,35
14,10.37147331237793,12912,1040,0.04857695415533269,51,29
15,35.77188777923584,22999,1937,0.04344187446417761,98,47
16,43.363797664642334,23364,1751,0.04190097507371036,66,44
17,31.680331230163574,20318,1587,0.05448934217794842,59,33
18,28.78620433807373,21292,1665,0.02922116638540344,92,53
19,3.674302339553833,7287,605,0.05811152676480878,25,21
