MinIDF,runTimes,edgeCounts,nodeCounts,groundTruths,resultComms,correctComms
0,2.0479228496551514,5551,421,0.02100673801030519,214,19
1,4.2608537673950195,19696,1650,0.00393121308665437,820,46
2,3.007294178009033,13466,1073,0.0018960022590665214,535,34
3,4.701648712158203,24377,1979,0.002266113872222079,1008,50
4,2.813587188720703,14320,1151,0.010741490121399667,576,33
5,6.451622247695923,22669,1943,0.010673383180103458,957,43
6,1.8087422847747803,7967,634,0.011976522842639593,312,21
7,2.9415576457977295,12457,1008,0.003288391976323578,498,30
8,2.097362995147705,8863,695,0.003098247044435385,335,25
9,2.099567413330078,8409,693,0.025230870712401054,347,25
10,0.9270005226135254,5886,435,0.014014014014014014,209,21
11,1.6244511604309082,5726,429,0.007243816254416961,205,18
12,5.303002834320068,21026,1647,0.00571578739898824,834,29
13,3.59297776222229,17495,1363,0.005557061534291136,676,35
14,2.6440508365631104,12912,1040,0.011120294537530995,511,29
15,6.022531986236572,22999,1937,0.009756529661874874,960,47
16,7.159900426864624,23364,1751,0.0011327488556133138,873,44
17,4.129483222961426,20318,1587,0.0012199147494869182,797,33
18,5.473663091659546,21292,1665,0.009548466782261704,847,53
19,2.5508737564086914,7287,605,0.031031220435193945,294,21
